#  Illinois Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
197501,2.32
197502,2.73
197503,2.76
197504,2.88
197505,2.44
197506,2.16
197507,1.92
197508,2.39
197509,0.03
197510,-0.36
197511,-0.43
197512,-0.32
197601,-0.59
197602,0.06
197603,0.52
197604,-0.51
197605,-0.47
197606,-0.8
197607,-0.85
197608,-1.34
197609,-1.61
197610,-1.18
197611,-1.82
197612,-2.68
197701,-3.05
197702,-3.21
197703,-2.12
197704,-2.85
197705,-3.29
197706,-3.13
197707,-2.96
197708,1.45
197709,2
197710,2.63
197711,2.78
197712,2.86
197801,-0.22
197802,-0.69
197803,0.19
197804,0.13
197805,0.47
197806,0.05
197807,0.46
197808,-0.02
197809,-0.35
197810,-0.61
197811,-0.57
197812,0.27
197901,0.77
197902,0.75
197903,1.4
197904,2.24
197905,1.42
197906,0.75
197907,1.46
197908,1.99
197909,-1.01
197910,-1.32
197911,-1.25
197912,-1.35
198001,-1.6
198002,-1.63
198003,-1.17
198004,-1.46
198005,-1.78
198006,-1.37
198007,-1.57
198008,0.55
198009,0.99
198010,-0.02
198011,-0.54
198012,-0.81
198101,-1.39
198102,-0.98
198103,-1.76
198104,0.27
198105,1.22
198106,1.62
198107,2.71
198108,3.71
198109,3.51
198110,3.47
198111,3.26
198112,2.94
198201,3.69
198202,3.1
198203,3.09
198204,2.81
198205,2.41
198206,2.33
198207,3.06
198208,3.04
198209,2.75
198210,2.59
198211,3.1
198212,4.81
198301,3.85
198302,3.16
198303,2.87
198304,3.79
198305,4.09
198306,3.61
198307,2.46
198308,1.29
198309,0.64
198310,1.11
198311,1.79
198312,2.28
198401,1.62
198402,1.63
198403,2.09
198404,2.47
198405,2.68
198406,-0.73
198407,-0.89
198408,-1.74
198409,0.38
198410,0.97
198411,1.55
198412,2.1
198501,1.83
198502,2.49
198503,3.04
198504,1.9
198505,1.28
198506,1.44
198507,1.24
198508,1.99
198509,1.26
198510,1.55
198511,3.95
198512,3.77
198601,2.75
198602,2.94
198603,1.83
198604,0.74
198605,0.7
198606,0.57
198607,1.3
198608,0.94
198609,1.95
198610,2.81
198611,2.75
198612,-0.03
198701,-0.16
198702,-0.64
198703,-1.17
198704,-1.57
198705,-2.25
198706,-2.55
198707,-2.27
198708,-1.38
198709,-1.76
198710,-2.03
198711,-1.93
198712,0.89
198801,0.93
198802,0.96
198803,0.97
198804,-0.73
198805,-1.64
198806,-2.88
198807,-3.5
198808,-4.13
198809,-4.42
198810,-4.13
198811,-3.38
198812,-3.16
198901,-2.96
198902,-2.49
198903,-2.23
198904,-2.17
198905,-2.03
198906,-2.13
198907,-1.9
198908,-1.51
198909,-0.64
198910,-0.96
198911,-1.37
198912,-1.93
199001,-1.87
