#  Illinois 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
197501,41.81
197502,42.59
197503,42.53
197504,42.88
197505,39.96
197506,38.21
197507,39.85
197508,40.66
197509,40.68
197510,40.76
197511,40.38
197512,40.74
197601,38.26
197602,37.35
197603,38.53
197604,36.91
197605,36.39
197606,35.3
197607,35.34
197608,32.15
197609,31.66
197610,33
197611,30.61
197612,28.54
197701,28.65
197702,27.98
197703,28.99
197704,28.33
197705,27.99
197706,28.77
197707,29.18
197708,34.16
197709,36.74
197710,37.6
197711,39.59
197712,41.8
197801,41.89
197802,41.14
197803,38.57
197804,40.24
197805,41.87
197806,41.26
197807,42.16
197808,38.53
197809,36.56
197810,34.42
197811,35.2
197812,35.72
197901,37.47
197902,38.59
197903,40.2
197904,42.37
197905,39.85
197906,39.58
197907,40.56
197908,42.2
197909,39.81
197910,39.77
197911,39.67
197912,38.63
198001,36.57
198002,36.07
198003,34.81
198004,31.4
198005,31.98
198006,33.65
198007,31.05
198008,31.48
198009,35.77
198010,36.09
198011,34.04
198012,33.65
198101,33.05
198102,34.02
198103,31.79
198104,34.4
198105,37.68
198106,38.68
198107,42.08
198108,42.46
198109,40.46
198110,40.85
198111,41.67
198112,41.69
198201,45.57
198202,44.57
198203,47.11
198204,45.26
198205,43.56
198206,41.9
198207,41.3
198208,38.95
198209,38.92
198210,39.05
198211,41.17
198212,46.58
198301,43.04
198302,42.92
198303,42.45
198304,45.42
198305,46.43
198306,46.52
198307,42.68
198308,41.72
198309,41.57
198310,43.67
198311,45
198312,41.29
198401,41.37
198402,42.43
198403,43.21
198404,42.01
198405,41.42
198406,40
198407,41.06
198408,40.36
198409,42.22
198410,42.29
198411,41.09
198412,41.31
198501,42.19
198502,43.39
198503,44.66
198504,41.89
198505,40.27
198506,42.28
198507,42.44
198508,45.89
198509,43.16
198510,42.25
198511,47
198512,45.63
198601,44.26
198602,43.52
198603,39.8
198604,39.49
198605,40.81
198606,40.29
198607,42.78
198608,39.87
198609,44.42
198610,45.35
198611,38.11
198612,37.45
198701,38.64
198702,36.78
198703,37.33
198704,37.97
198705,35.95
198706,35.29
198707,33.93
198708,37.06
198709,32.92
198710,29.33
198711,31.22
198712,34.68
198801,35.29
198802,36.43
198803,37.67
198804,36.99
198805,36.09
198806,33.76
198807,31.95
198808,29.16
198809,29.41
198810,30.69
198811,32.11
198812,29.33
198901,28.87
198902,28.94
198903,28.68
198904,30.03
198905,31.79
198906,33.86
198907,34.99
198908,36.28
198909,38.69
198910,37.64
198911,33.87
198912,32.39
199001,32.86
199002,34.87
199003,35.16
199004,34.82
199005,39.27
199006,42.65
199007,43.07
199008,43.04
199009,40.11
199010,42.76
199011,45.49
199012,49.94
199101,49.49
199102,46.43
199103,47.06
199104,47.59
199105,44.67
199106,39.85
199107,37.8
199108,36.69
199109,37.98
199110,39.76
199111,39.33
199112,36.12
199201,35.7
199202,36.2
199203,34.76
199204,34.31
199205,30.6
199206,30.7
199207,36.25
199208,35.45
199209,37.01
199210,32.36
199211,35.22
199212,35.81
199301,38.3
199302,38.62
199303,39.13
199304,41.33
199305,43.34
199306,48.46
199307,47.46
199308,50.61
199309,53.46
199310,54.61
199311,52.32
199312,51.17
199401,49.37
199402,49.29
199403,47.55
199404,48.56
199405,47.42
199406,44.73
199407,40.85
199408,39.38
199409,34.22
199410,33.78
199411,35.1
199412,35.49
199501,36.79
199502,36.09
199503,37.24
199504,35.57
199505,42.31
199506,41.69
199507,41.93
199508,42.53
199509,41.43
199510,42.43
199511,39.42
199512,38.91
199601,38.06
199602,37.86
199603,37.49
199604,38.05
199605,36.9
199606,37.61
199607,38.99
199608,36.83
199609,38.49
199610,37.87
199611,38.53
199612,38.82
199701,38.99
199702,42.09
199703,43
199704,40.23
199705,36.52
199706,36.04
199707,33.9
199708,36.64
199709,36.08
199710,35.62
199711,34.89
199712,35.1
199801,35.35
199802,33.98
199803,35.55
199804,38.22
199805,38.97
199806,42.85
199807,44.11
199808,42.65
199809,42.55
199810,44.84
199811,44.83
199812,44.48
199901,45.95
199902,45.84
199903,42.99
199904,43.59
199905,42.49
199906,40.13
199907,39.59
199908,39.08
199909,38.98
199910,36.44
199911,34.52
199912,35.71
200001,33.03
200002,33.14
200003,33.45
200004,30.91
200005,31.63
200006,33.69
200007,35.12
200008,35.89
200009,37.52
200010,37.93
200011,40.58
200012,39.77
200101,39.96
200102,40.62
200103,39.81
200104,39.66
200105,39.61
200106,36.08
200107,35.5
200108,36.01
200109,35.57
200110,39.55
200111,38.99
200112,39.65
200201,40.15
200202,38.79
200203,40.93
200204,43.2
200205,46.19
200206,46.4
200207,45.22
200208,45.34
200209,44.08
200210,41.07
200211,39.49
200212,39.06
200301,37.49
200302,37.49
200303,36.11
200304,34.18
200305,32.34
200306,32.11
200307,34.5
200308,32.86
200309,35
200310,33.91
200311,37.38
200312,37.77
200401,39.1
200402,38.03
200403,40.19
200404,38.81
200405,40.14
200406,39.52
200407,38.66
200408,41.19
200409,37.62
200410,40.48
200411,40.73
200412,39.97
200501,43.33
200502,44.45
200503,41.87
200504,42.64
200505,37.55
200506,36.25
200507,35.35
200508,33.95
200509,36.9
200510,33.32
200511,32.07
200512,31.43
200601,28.83
200602,27.83
200603,30.85
200604,32.07
200605,33.91
200606,35.02
200607,35.88
200608,36.25
200609,36.04
200610,38.58
200611,38.39
200612,40.63
200701,40.82
200702,42.25
200703,40.88
200704,40.6
200705,39.26
200706,40.41
200707,39.63
200708,39.94
200709,38.11
200710,37.81
200711,36.21
200712,36.68
200801,36.18
200802,38.27
200803,39.59
200804,40.42
200805,43.54
200806,44.9
200807,47.5
200808,45.07
200809,51.1
200810,50.02
200811,49.79
200812,50.17
200901,48.75
200902,46.78
200903,46.3
200904,48.12
200905,48.41
200906,48.04
200907,46.72
200908,49.51
200909,44.17
200910,50.24
200911,51.23
200912,50.96
201001,51.39
201002,50.49
201003,49.18
201004,46.38
201005,46.13
201006,48.72
201007,49.48
201008,47.94
201009,49.39
201010,42.22
201011,42.89
201012,40.68
201101,40.43
201102,42.14
201103,42.12
201104,46.38
201105,46.26
201106,45.24
201107,43.5
201108,42.19
201109,42.02
201110,42.5
201111,44.52
201112,46.1
201201,46.8
201202,45.04
201203,44.4
201204,39.91
201205,37.1
201206,32.14
201207,29.93
201208,31.56
201209,33.04
201210,35.17
201211,31.21
201212,30.11
201301,32.03
201302,33.2
201303,33.73
201304,37.53
201305,41.63
201306,45.23
201307,46.99
201308,44.93
201309,41.58
201310,40.98
201311,42.26
201312,42.49
201401,40.4
201402,39.97
201403,38.82
201404,37.04
201405,33.76
201406,35.2
201407,35.33
201408,39.08
201409,41.5
201410,42.5
201411,41.87
201412,41.29
201501,41.07
201502,40.28
201503,41.17
201504,39.43
201505,41.53
201506,44.2
201507,46.12
201508,43.95
201509,43.26
201510,40.37
201511,44.03
201512,48.8
201601,48.16
201602,48.04
201603,49.04
201604,48.93
201605,47.88
201606,41.57
201607,43.26
201608,47.01
201609,47.01
201610,47.95
201611,45.01
201612,39.74
201701,41.01
201702,40.43
201703,40.64
201704,44.22
201705,45.05
201706,45.11
201707,43.02
201708,38.65
201709,36.06
201710,38.68
201711,38.36
201712,37.8
201801,36.97
201802,41.12
201803,41.47
201804,37.01
201805,35.64
201806,38.74
201807,37.37
201808,39.88
201809,43.95
201810,42.63
201811,43.38
201812,45.79
201901,47.8
201902,46.13
201903,46.28
201904,48.44
201905,52.8
201906,51.67
201907,51.28
201908,50.42
201909,50.52
201910,51.84
201911,51.23
201912,49.86
202001,50.91
202002,49.7
202003,49.59
202004,49.33
202005,46.45
202006,44.9
202007,47.46
202008,45.32
202009,43.58
202010,41.55
202011,42.1
202012,41.93
202101,40.03
202102,39.7
202103,39.72
202104,38.44
202105,37.47
202106,39.03
202107,38.39
202108,40.21
202109,39.24
202110,42.29
202111,40.2
202112,41.01
202201,39.6
202202,41.09
202203,41.48
202204,41.99
202205,41.76
202206,39.35
202207,39.66
202208,39.99
202209,40.24
202210,36.44
202211,37.4
202212,37.25
202301,38.82
202302,38.49
202303,38.47
202304,37.47
202305,35.87
202306,35
202307,34.47
202308,34.42
202309,34.28
202310,35.36
202311,34.26
202312,34.65
