#  Indiana Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
197501,2.05
197502,2.43
197503,2.61
197504,2.7
197505,2.07
197506,2.28
197507,1.54
197508,2.24
197509,2.1
197510,1.94
197511,1.75
197512,1.98
197601,1.8
197602,1.79
197603,-0.16
197604,-1.08
197605,-1.13
197606,0.48
197607,0.47
197608,0.15
197609,0.17
197610,0.54
197611,-0.43
197612,-1.22
197701,-1.55
197702,-1.48
197703,-0.92
197704,-1.32
197705,-2.15
197706,-1.98
197707,-2.07
197708,1.53
197709,1.71
197710,2.19
197711,2.3
197712,2.61
197801,2.5
197802,1.49
197803,1.39
197804,1.25
197805,1.22
197806,0.76
197807,1.24
197808,2.09
197809,1.15
197810,1.16
197811,1.05
197812,1.51
197901,1.78
197902,1.67
197903,1.35
197904,1.61
197905,1.17
197906,1.03
197907,2.87
197908,4.1
197909,3.37
197910,3.28
197911,4.16
197912,3.75
198001,2.97
198002,2.39
198003,2.62
198004,2.03
198005,1.45
198006,1.95
198007,1.74
198008,2.33
198009,2.15
198010,2.01
198011,-0.41
198012,-0.83
198101,-1.48
198102,-1.15
198103,-1.97
198104,0.54
198105,1.82
198106,1.76
198107,2.11
198108,2.41
198109,2.47
198110,2.44
198111,2
198112,1.97
198201,2.87
198202,2.42
198203,2.62
198204,2.06
198205,1.73
198206,1.89
198207,1.7
198208,1.81
198209,1.56
198210,0.97
198211,1.43
198212,2.34
198301,-0.47
198302,-0.98
198303,-1.34
198304,0.94
198305,1.91
198306,-0.32
198307,-1.17
198308,-1.97
198309,-2.61
198310,0.87
198311,1.21
198312,1.62
198401,0.9
198402,0.58
198403,0.81
198404,1.23
198405,1.55
198406,-0.97
198407,-0.91
198408,-1.54
198409,0.34
198410,0.5
198411,0.93
198412,1.34
198501,1.01
198502,1.56
198503,2.04
198504,-0.92
198505,-1.07
198506,-1.02
198507,-1.14
198508,1.02
198509,-0.42
198510,0.36
198511,2.28
198512,-0.01
198601,-0.62
198602,-0.13
198603,-0.55
198604,-1.2
198605,0.22
198606,0.3
198607,0.94
198608,0.71
198609,1.25
198610,1.95
198611,2.09
198612,-0.17
198701,-0.47
198702,-1.02
198703,-1.59
198704,-1.88
198705,-2.23
198706,-1.94
198707,-1.16
198708,-1.08
198709,-1.5
198710,-1.61
198711,-1.91
198712,-1.21
198801,-1.31
198802,-0.74
198803,-0.86
198804,-1.07
198805,-2
198806,-3.37
198807,-3.38
198808,-3.81
198809,-3.82
198810,0.13
198811,0.54
198812,0.5
198901,0.41
198902,0.6
198903,0.88
198904,1.04
198905,1.49
198906,1.23
198907,1.78
198908,2.21
198909,3.03
198910,2.79
198911,2.89
198912,2.23
199001,1.89
199002,3.02
199003,2.25
199004,1.69
199005,2.88
199006,2.85
199007,3.13
199008,3.88
199009,3.48
199010,4.42
199011,4.45
199012,5.79
199101,-0.14
199102,-0.28
199103,0.29
199104,-0.25
199105,-0.62
199106,-1.76
199107,-2.51
199108,-2.68
199109,-2.94
199110,-2.12
199111,-1.99
199112,-1.95
199201,-2.07
199202,-2.37
199203,-2.32
199204,-2.19
199205,-2.49
199206,-2.52
199207,2.05
199208,2.04
199209,2.77
199210,2.56
199211,3.83
199212,3.3
199301,3.5
199302,3.08
199303,2.56
199304,2.77
199305,2.23
199306,2.81
199307,2.72
199308,2.97
199309,4.31
199310,4.65
199311,5.6
199312,-0.1
199401,0.11
199402,-0.34
199403,-1.2
199404,-0.4
199405,-0.74
199406,-0.72
199407,-0.8
199408,-0.58
199409,-0.78
199410,-1.38
199411,-1.2
199412,-1.32
199501,-1
199502,-1.33
199503,-1.73
199504,0.32
199505,1.49
199506,-0.06
199507,-0.49
199508,-0.4
199509,-1.2
199510,-1.24
199511,-1.46
199512,-1.74
199601,-1.32
199602,-1.61
199603,-1.65
199604,1.28
199605,2.46
199606,2.63
199607,3.09
199608,2.12
199609,2.81
199610,2.55
199611,3.11
199612,3.2
199701,3.11
199702,3.26
199703,3.4
199704,2.55
199705,3.11
199706,3.49
199707,2.84
199708,2.98
199709,-0.25
199710,-0.66
199711,-0.86
199712,-1.14
199801,-0.82
199802,-1.05
199803,0.27
199804,1.09
199805,0.88
199806,2.31
199807,2.65
199808,2.6
199809,-0.91
199810,-0.62
199811,-1
199812,-1.3
199901,0.95
199902,1.33
199903,-0.53
199904,-0.16
199905,-0.62
199906,-0.6
199907,-1.23
199908,-1.75
199909,-2.48
199910,-2.84
199911,-4.14
199912,-4.25
200001,-4.14
200002,-3.41
200003,-3.83
200004,-3.63
200005,0
200006,0.93
200007,1.04
200008,1.57
200009,2.27
200010,2.12
200011,2.34
200012,2.35
200101,-0.51
200102,-0.16
200103,-1.13
200104,-1.71
200105,-1.6
200106,0.12
200107,0.88
200108,1.21
200109,1.61
200110,3.78
200111,3.78
200112,3.79
200201,3.32
200202,3
200203,3.13
200204,3.41
200205,4.28
200206,-0.41
200207,-1.07
200208,-1.54
200209,-1.45
200210,-1.44
200211,-1.88
200212,-1.88
200301,-2.06
200302,-1.58
200303,-2.08
200304,-2.29
200305,0.93
200306,0.72
200307,2.59
200308,2.54
200309,3.88
200310,3.82
200311,4.26
200312,3.92
200401,3.93
200402,2.93
200403,2.44
200404,1.29
200405,1.99
200406,2.02
200407,2.56
200408,3.34
200409,2.19
200410,2.62
200411,3.25
200412,2.98
200501,4.45
200502,0
200503,-0.5
200504,-0.9
200505,-1.27
200506,-1.63
200507,-1.35
200508,-0.78
200509,-0.45
200510,-1.08
200511,-1.02
200512,-1.17
200601,0.2
200602,-0.24
200603,0.68
200604,0.57
200605,0.98
200606,1.01
200607,1.34
200608,1.9
200609,2.61
200610,3.76
200611,3.88
200612,4.35
200701,4.78
200702,4.42
200703,-0.27
200704,-0.02
200705,-1.14
200706,-1.55
200707,-1.76
200708,-1.49
200709,-1.88
200710,-1.78
200711,-2.08
200712,0.7
200801,0.94
200802,2.05
200803,3.17
200804,2.61
200805,3.06
200806,3.73
200807,3.67
200808,2.85
200809,2.81
200810,2.36
200811,1.73
200812,2.39
200901,1.86
200902,1.96
200903,1.47
200904,2.08
200905,2.4
200906,2.39
200907,2.69
200908,2.84
200909,2.62
200910,4.28
200911,-0.23
200912,0.28
201001,-0.32
201002,-0.59
201003,-0.84
201004,-1.33
201005,0.35
201006,1.64
201007,1.57
201008,-0.78
201009,-1.6
201010,-2.4
201011,-2.06
201012,-2.45
201101,-2.58
201102,0.93
201103,0.75
201104,2.92
201105,3.45
201106,3.52
201107,2.53
201108,1.78
201109,2.54
201110,2.61
201111,3.6
201112,4.01
201201,3.97
201202,-0.34
201203,-1.31
201204,-1.9
201205,-2.53
201206,-3.53
201207,-4.45
201208,-0.04
201209,0.7
201210,1.07
201211,0.2
201212,0.07
201301,0.94
201302,0.87
201303,0.44
201304,1.44
201305,0.98
201306,1.79
201307,-0.11
201308,-0.7
201309,-0.78
201310,0.45
201311,0.52
201312,1.25
201401,1.1
201402,1.21
201403,0.56
201404,1.22
201405,1.05
201406,1.5
201407,1.46
201408,2.18
201409,2.38
201410,3.01
201411,3.21
201412,2.92
201501,2.52
201502,1.92
201503,1.84
201504,1.96
201505,1.52
201506,3.43
201507,4.23
201508,3.69
201509,3.02
201510,2.58
201511,2.36
201512,3.05
201601,2.35
201602,2.36
201603,2.23
201604,2.1
201605,1.7
201606,1.53
201607,1.94
201608,3.15
201609,3.11
201610,2.82
201611,2.5
201612,2.24
201701,2.47
201702,1.62
201703,1.58
201704,1.54
201705,2.41
201706,2.3
201707,3.07
201708,2.53
201709,1.84
201710,2.16
201711,2.64
201712,1.95
201801,1.63
201802,3.1
201803,3.03
201804,2.9
201805,1.91
201806,2.55
201807,2.14
201808,2.79
201809,3.42
201810,3.38
201811,4.1
201812,4.01
201901,4.01
201902,4.64
201903,4.55
201904,4.76
201905,4.89
201906,5.31
201907,4.63
201908,4.27
201909,3.27
201910,3.41
201911,3.14
201912,3.09
202001,3.59
202002,3.51
202003,3.45
202004,2.89
202005,3.02
202006,-0.27
202007,-0.05
202008,-0.07
202009,-0.73
202010,-0.07
202011,-0.15
202012,-0.43
202101,-0.36
202102,-0.29
202103,-0.36
202104,-0.71
202105,-0.7
202106,0.69
202107,1.4
202108,1.35
202109,1.65
202110,2.79
202111,2.45
202112,2.65
202201,2.11
202202,2.97
202203,2.74
202204,-0.12
202205,0.16
202206,-0.76
202207,0.54
202208,0.65
202209,-0.38
202210,-0.77
202211,-1.59
202212,-1.94
202301,0.13
202302,0.41
202303,1.31
202304,-0.49
202305,-1.04
202306,-1.5
202307,-0.88
202308,-0.59
202309,-1.35
202310,-1.16
202311,-2.14
202312,-2.64
