#  Indiana 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
197501,42.42
197502,43.84
197503,43.95
197504,44.71
197505,42
197506,43
197507,44.08
197508,44.44
197509,42.8
197510,44.04
197511,43.99
197512,44.7
197601,43.3
197602,42.65
197603,42.2
197604,39.66
197605,39.44
197606,39.42
197607,40.68
197608,37.43
197609,37.54
197610,37.79
197611,35.52
197612,32.61
197701,31.47
197702,30.62
197703,31.82
197704,33.29
197705,32.3
197706,31.12
197707,31.15
197708,35.72
197709,36.74
197710,37.29
197711,39.15
197712,42.36
197801,43.87
197802,42.39
197803,40.59
197804,41.26
197805,42.98
197806,42.25
197807,43.71
197808,42.12
197809,39.68
197810,38.83
197811,39.18
197812,39.29
197901,40
197902,41.82
197903,41.96
197904,42.62
197905,41.64
197906,42.34
197907,45.25
197908,46.08
197909,46.33
197910,46.23
197911,48.31
197912,46.9
198001,44.73
198002,43.96
198003,44.92
198004,43.14
198005,43.2
198006,44.6
198007,40.52
198008,39.67
198009,41.14
198010,40.76
198011,36.96
198012,36
198101,35.07
198102,36.07
198103,33.1
198104,36.08
198105,40.15
198106,39.29
198107,40.26
198108,39.13
198109,39.32
198110,39.56
198111,39.92
198112,41.21
198201,46.12
198202,45.39
198203,48.62
198204,45.44
198205,42.72
198206,42.52
198207,41.3
198208,40.73
198209,40
198210,39.07
198211,42.21
198212,44.88
198301,40.67
198302,39.84
198303,37.92
198304,41.07
198305,43.05
198306,42.04
198307,40.56
198308,39.47
198309,38.62
198310,42.87
198311,42.46
198312,40.71
198401,40.49
198402,41.36
198403,42.43
198404,41.58
198405,39.93
198406,38.72
198407,40.26
198408,40.02
198409,42.31
198410,40.42
198411,40.39
198412,40.59
198501,41.57
198502,43.33
198503,45.01
198504,42.33
198505,41.34
198506,42.88
198507,42.24
198508,45.48
198509,43.4
198510,43.34
198511,47.02
198512,45.45
198601,44.31
198602,43.8
198603,41.18
198604,41.44
198605,42.43
198606,43.21
198607,45.58
198608,42.63
198609,45.37
198610,45.86
198611,40.09
198612,39.66
198701,40.46
198702,38.25
198703,37.8
198704,38.12
198705,36.57
198706,36.75
198707,36.63
198708,37.4
198709,34.64
198710,31.95
198711,32.27
198712,34.87
198801,35.1
198802,37.33
198803,38.15
198804,38.43
198805,36.59
198806,32.74
198807,31.55
198808,31.2
198809,32.03
198810,33.67
198811,36.25
198812,34.25
198901,34.87
198902,34.41
198903,35.69
198904,36.99
198905,40.68
198906,43.66
198907,44.85
198908,46.27
198909,48.48
198910,47.05
198911,44.48
198912,43.42
199001,43.33
199002,45.96
199003,44.46
199004,43.06
199005,45.32
199006,46.25
199007,45.73
199008,46.52
199009,44.16
199010,47.38
199011,48
199012,53.54
199101,53.25
199102,49.85
199103,51.46
199104,52.2
199105,48.74
199106,45.68
199107,43.25
199108,41.37
199109,41.12
199110,41.12
199111,40.9
199112,36.31
199201,35.84
199202,35.2
199203,33.89
199204,33.68
199205,32.11
199206,33.44
199207,39.55
199208,39.27
199209,41.55
199210,38.09
199211,40.73
199212,40.34
199301,42.61
199302,43.39
199303,43.04
199304,44.36
199305,45.45
199306,48.38
199307,44.2
199308,45.62
199309,47.24
199310,48.88
199311,48.51
199312,48.59
199401,47.45
199402,46.83
199403,45.4
199404,46.36
199405,45.49
199406,43.87
199407,42.87
199408,41.94
199409,38.08
199410,36.16
199411,35.24
199412,35.56
199501,35.75
199502,35.53
199503,36.73
199504,35.54
199505,40.12
199506,39.92
199507,39.38
199508,40.22
199509,38.91
199510,40.5
199511,38.68
199512,38.26
199601,38.52
199602,38.54
199603,38.55
199604,40.68
199605,41.07
199606,42.12
199607,44.37
199608,41.69
199609,45.56
199610,44.79
199611,46.24
199612,47.67
199701,47.59
199702,49.67
199703,51.9
199704,47.33
199705,45.39
199706,45.86
199707,43.73
199708,46.07
199709,43.39
199710,42.78
199711,41.25
199712,39.8
199801,39.8
199802,38.34
199803,37.77
199804,41.76
199805,40.64
199806,42.88
199807,44.89
199808,44.51
199809,43.31
199810,45.25
199811,44.84
199812,44.88
199901,46.76
199902,48.35
199903,46.11
199904,44.95
199905,43.48
199906,39.87
199907,37.61
199908,36.27
199909,36.57
199910,35.04
199911,33.9
199912,35.04
200001,32.66
200002,32.71
200003,32.91
200004,31.24
200005,32.65
200006,34.73
200007,35.92
200008,38.09
200009,41.34
200010,41.65
200011,43.57
200012,43.4
200101,41.88
200102,41.28
200103,40.05
200104,39.57
200105,39.36
200106,37.24
200107,38.81
200108,38.42
200109,37.57
200110,42.99
200111,43.35
200112,43.96
200201,45.18
200202,44.64
200203,48.05
200204,50.89
200205,53.66
200206,52.85
200207,50.03
200208,48.83
200209,48.82
200210,43.94
200211,42.95
200212,42.19
200301,41.37
200302,41.79
200303,39.57
200304,36.98
200305,36.45
200306,36.43
200307,41.97
200308,42.69
200309,45.14
200310,44.67
200311,46.58
200312,46.4
200401,48.46
200402,46.55
200403,47.85
200404,46.68
200405,47.29
200406,48.46
200407,45.47
200408,46.78
200409,41.3
200410,43.04
200411,43.51
200412,43.4
200501,47.03
200502,48.45
200503,47.11
200504,48.32
200505,43.72
200506,42.5
200507,41.74
200508,41.65
200509,45.03
200510,42.13
200511,41.31
200512,40.89
200601,37.06
200602,36.43
200603,39.45
200604,40.68
200605,43.36
200606,44.35
200607,44.77
200608,44.77
200609,45.23
200610,49
200611,48.34
200612,51.02
200701,52.49
200702,53.3
200703,51.7
200704,51.58
200705,48.08
200706,47.16
200707,45.48
200708,45.27
200709,43.24
200710,42.04
200711,41.56
200712,41.79
200801,40.27
200802,42.65
200803,45.59
200804,44.8
200805,48.73
200806,52.03
200807,53.18
200808,50.64
200809,51.97
200810,50.39
200811,49.73
200812,49.69
200901,48.08
200902,46.07
200903,42.82
200904,45.2
200905,45.19
200906,43.3
200907,43.41
200908,45.16
200909,44.17
200910,48.63
200911,47.98
200912,46.06
201001,45.96
201002,44.64
201003,44.51
201004,41.93
201005,41.75
201006,44.74
201007,44.46
201008,42.54
201009,41.02
201010,35.5
201011,39.05
201012,37.39
201101,37.37
201102,40.1
201103,40.46
201104,46.91
201105,47.93
201106,45.47
201107,44.06
201108,44.77
201109,48.73
201110,50.85
201111,52.05
201112,55.19
201201,57.09
201202,54.42
201203,53.69
201204,46.3
201205,42.54
201206,38.61
201207,38.4
201208,39.9
201209,39.76
201210,40.42
201211,35.19
201212,33.82
201301,35.13
201302,35.8
