#  Iowa Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
197501,1.72
197502,1.8
197503,1.87
197504,2.39
197505,-0.39
197506,-0.01
197507,-1.12
197508,-0.75
197509,-1.13
197510,-2.11
197511,-1.62
197512,-1.81
197601,-2.15
197602,0.2
197603,0.83
197604,1.36
197605,-0.14
197606,-0.66
197607,-1.13
197608,-2.1
197609,-2.9
197610,-2.98
197611,-3.81
197612,-4.45
197701,-4.82
197702,-5.22
197703,-4.71
197704,-4.97
197705,-5.47
197706,-5.86
197707,-5.68
197708,1.6
197709,1.97
197710,2.85
197711,2.93
197712,2.8
197801,2.44
197802,2.22
197803,1.53
197804,2.23
197805,1.98
197806,1.63
197807,2.48
197808,2.22
197809,2.75
197810,2.35
197811,2.76
197812,2.62
197901,2.92
197902,2.49
197903,3.29
197904,3.26
197905,2.6
197906,2.17
197907,2.48
197908,3.26
197909,2.4
197910,2.87
197911,3
197912,2.56
198001,2.65
198002,0.01
198003,-0.31
198004,-0.94
198005,-1.36
198006,-1.15
198007,-1.63
198008,1.36
198009,-0.02
198010,0.1
198011,-0.5
198012,-0.45
198101,-0.83
198102,-0.37
198103,-1.05
198104,-0.98
198105,-1.31
198106,0.3
198107,0.88
198108,1.58
198109,1.38
198110,1.64
198111,1.88
198112,1.88
198201,2.32
198202,1.89
198203,2.2
198204,2.03
198205,3.01
198206,2.44
198207,3.3
198208,3.5
198209,3.43
198210,3.77
198211,4.35
198212,5.37
198301,4.81
198302,4.63
198303,4.84
198304,4.68
198305,4.76
198306,4.61
198307,3.61
198308,2.31
198309,2.03
198310,2.2
198311,3.21
198312,3.07
198401,2.63
198402,2.48
198403,2.34
198404,3.56
198405,3.73
198406,4.14
198407,4
198408,2.49
198409,1.62
198410,2.55
198411,2.5
198412,2.94
198501,2.6
198502,2.57
198503,2.5
198504,-0.49
198505,-1.06
198506,-1.46
198507,-1.75
198508,0.02
198509,0.59
198510,1.02
198511,1.47
198512,1.6
198601,1.14
198602,1.34
198603,1.14
198604,1.65
198605,2.17
198606,1.87
198607,2.25
198608,2.36
198609,3.48
198610,4.06
198611,3.87
198612,0.02
198701,-0.23
198702,-0.54
198703,-0.04
198704,-0.67
198705,-0.87
198706,-1.81
198707,0.31
198708,1.79
198709,1.51
198710,1.03
198711,1.3
198712,1.74
198801,0.03
198802,-0.16
198803,-0.76
198804,-1.09
198805,-2.14
198806,-3.39
198807,-4.18
198808,-4.27
198809,-4.26
198810,-4.64
198811,-4.44
198812,-4.62
198901,-4.54
198902,-4.68
198903,-5.09
198904,-5.24
198905,-5.34
198906,-5.26
198907,-5.17
198908,-4.97
198909,-4.08
198910,-3.88
198911,-4.21
198912,-4.46
199001,-4.28
199002,-4.21
199003,0.77
199004,0.47
199005,1.39
199006,2.58
199007,3.59
199008,3.64
199009,2.64
199010,2.28
199011,1.91
199012,1.95
199101,1.79
199102,1.34
199103,2.22
199104,3.22
199105,3.21
199106,2.51
199107,1.68
199108,1.2
199109,0.67
199110,0.79
199111,1.86
199112,2.07
199201,2.03
199202,2.17
199203,1.98
199204,2.27
199205,-0.88
199206,-1.8
199207,2.06
199208,1.78
199209,2.66
199210,2.41
199211,3.84
199212,4.01
199301,3.88
199302,3.74
199303,3.91
199304,4.08
199305,4.42
