#  Iowa 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
197501,32.3
197502,32.77
197503,33.2
197504,33.67
197505,30.7
197506,31.38
197507,30.05
197508,30.4
197509,30.95
197510,28.36
197511,30.42
197512,30.06
197601,28.76
197602,29.1
197603,30.37
197604,31.14
197605,31.04
197606,28.91
197607,30.5
197608,26.86
197609,26.19
197610,27.41
197611,24.04
197612,23.59
197701,23.86
197702,22.89
197703,23.38
197704,21.33
197705,20.9
197706,20.32
197707,21.76
197708,28.48
197709,31.7
197710,34.29
197711,35.84
197712,36.59
197801,36.68
197802,36.95
197803,33.76
197804,35.87
197805,36.86
197806,38.44
197807,40.32
197808,35.41
197809,36.23
197810,33.42
197811,34.18
197812,34.14
197901,35.21
197902,34.95
197903,37.98
197904,36.39
197905,35.54
197906,35.4
197907,34.26
197908,37.06
197909,33.01
197910,35.38
197911,34.82
197912,34.34
198001,33.98
198002,34.2
198003,31.48
198004,29.87
198005,29.79
198006,30.45
198007,28.28
198008,30.01
198009,31.68
198010,29.96
198011,28.54
198012,29.09
198101,27.89
198102,28.56
198103,28.29
198104,30.26
198105,29.97
198106,30.63
198107,32.99
198108,30.32
198109,29.78
198110,30.36
198111,31.98
198112,31.99
198201,33.67
198202,32.66
198203,34.6
198204,33.65
198205,38.14
198206,36.01
198207,37.3
198208,36.65
198209,37.47
198210,38.26
198211,39.14
198212,41.44
198301,40.36
198302,41.2
198303,41.75
198304,42.2
198305,39.86
198306,41.97
198307,38.4
198308,36.33
198309,37.02
198310,37.05
198311,38.8
198312,36.51
198401,36.32
198402,36
198403,34.61
198404,37.46
198405,37.53
198406,38.77
198407,40.15
198408,38.71
198409,36.68
198410,38.56
198411,35.92
198412,36.91
198501,37.04
198502,37.24
198503,38.01
198504,34.59
198505,32.63
198506,28.94
198507,27.73
198508,30.62
198509,33.86
198510,31.78
198511,31.98
198512,31.15
198601,30.73
198602,30.85
198603,30.34
198604,32.57
198605,35.39
198606,37.08
198607,39.32
198608,39.36
198609,40.84
198610,41.45
198611,40.36
198612,39.9
198701,40
198702,39.02
198703,40.08
198704,37.43
198705,35.78
198706,33.67
198707,33.83
198708,37.57
198709,33.35
198710,30.36
198711,31.85
198712,32.84
198801,33.28
198802,33.49
198803,31.11
198804,31.1
198805,28.9
198806,28.08
198807,25.13
198808,21.6
198809,22.64
198810,22.51
198811,22.48
198812,21.48
198901,21.64
198902,21.71
198903,21.82
198904,22
198905,22.8
198906,24.44
198907,25.52
198908,24.97
198909,26.2
198910,27.47
198911,25.13
198912,24.69
199001,24.65
199002,24.78
199003,28.18
199004,28.35
199005,31.51
199006,36.11
199007,39.13
199008,39.87
199009,36.42
199010,36.38
199011,37.76
199012,38.9
199101,38.79
199102,38.42
199103,38.31
199104,41.88
199105,41.34
199106,37.52
199107,33.48
199108,32.61
199109,34.01
199110,35.05
199111,37.76
199112,37.74
199201,37.97
199202,38.96
199203,36.98
199204,34.75
199205,31.31
199206,29.06
199207,35.29
199208,34.39
199209,37.18
199210,35.89
199211,35.91
199212,36.21
199301,36.39
199302,36.25
199303,36.79
199304,36.84
199305,40.69
199306,46.79
199307,48.69
199308,54.39
199309,52.5
199310,52.18
199311,48.89
199312,47.87
199401,47.75
199402,47.78
199403,45.23
199404,43.99
199405,40.44
199406,38.68
199407,32.11
199408,27.48
199409,27.37
199410,27.99
199411,29.11
199412,29.54
199501,29.3
199502,28.44
199503,30.81
199504,33.3
199505,37.13
199506,34.63
199507,34.2
199508,34.1
199509,33.48
199510,33.55
199511,33.04
199512,32.25
199601,33.27
199602,33.22
199603,32.03
199604,28.76
199605,30.22
199606,31.56
199607,31.3
199608,31.57
199609,31.48
199610,32.22
199611,33.17
199612,33.64
199701,32.76
199702,34.17
199703,34.11
199704,35.11
199705,31.8
199706,31.11
199707,30.87
199708,29.84
199709,30.08
199710,30.71
199711,29.08
199712,29.21
199801,29.3
199802,29.25
199803,31.58
199804,32.89
199805,33.16
199806,36.69
199807,36.9
199808,39.15
199809,38.1
199810,39.56
199811,40.15
199812,39.57
199901,39.81
199902,39.09
199903,36.42
199904,38.74
199905,39.33
199906,36.71
199907,38.76
199908,36.86
199909,36.64
199910,32.58
199911,31.99
199912,32.28
200001,31.72
200002,32.18
200003,32.2
200004,27.97
200005,26.68
200006,27.95
200007,26.83
200008,26.34
200009,26.61
200010,27.64
200011,28.77
200012,29.73
200101,30.42
200102,31.21
200103,31.51
200104,33.08
200105,36.52
200106,34.03
200107,33.06
200108,33.41
200109,35.37
200110,36.03
200111,35.43
200112,34.59
200201,33.57
200202,32.3
200203,32.16
200204,32.18
200205,29.24
200206,28.68
200207,29.8
200208,32.64
200209,30.28
200210,31.4
200211,30.07
200212,29.48
200301,29.47
200302,29.4
200303,29.39
200304,29.02
200305,29.53
200306,30.5
200307,30.37
200308,25.59
200309,26.99
200310,24.41
200311,27.65
200312,28.69
200401,29.26
200402,29.61
200403,32.21
200404,30.81
200405,33.94
200406,33.01
200407,33.23
200408,36.76
200409,36.31
200410,37.36
200411,36.11
200412,35.41
200501,35.76
200502,36.11
200503,33.41
200504,35.01
200505,31.12
200506,32.82
200507,31.76
200508,30.22
200509,30.85
200510,29.71
200511,29.25
200512,29.84
200601,29.52
200602,28.32
200603,30.44
200604,31.29
200605,29.88
200606,27.12
200607,27.07
200608,29.8
200609,30.73
200610,31.46
200611,31.48
200612,32.4
200701,32.32
200702,33.68
200703,33.37
200704,33.63
200705,36.54
200706,37.43
200707,37.59
200708,41.53
200709,40.18
200710,43.64
200711,42.05
200712,42.4
200801,42.17
200802,42.2
200803,40.6
200804,41.9
200805,42.22
200806,47.72
200807,50.22
200808,42.49
200809,43.78
200810,41.93
200811,43.47
200812,42.91
200901,42.91
200902,41.99
200903,43.7
200904,41.44
200905,39.41
200906,35.82
200907,34.56
200908,38.35
200909,35.92
200910,39.02
200911,38.49
200912,39.15
201001,39.77
201002,39.94
201003,38.69
201004,38.79
201005,39.34
201006,44.33
201007,47.6
201008,46.68
201009,50.35
201010,44.91
201011,45.36
201012,44.05
201101,43.69
201102,44.12
201103,43.9
201104,44.01
201105,44.82
201106,40.73
201107,36.24
201108,34.43
201109,30.71
201110,30.54
201111,30.98
201112,31.83
201201,31.46
201202,31.75
201203,32.16
201204,32.25
201205,30.76
201206,27.38
201207,25.15
201208,25.01
201209,24.95
201210,27.19
201211,26.16
201212,25.6
201301,25.98
201302,25.57
201303,25.75
201304,28.28
201305,33.42
201306,35.5
201307,36.07
201308,34.68
201309,35
201310,34.8
201311,35.34
201312,34.44
201401,33.92
201402,34.15
201403,32.87
201404,31.09
201405,25.48
201406,30.25
201407,31.81
201408,36.24
201409,38.65
201410,39.04
201411,38.21
201412,38.69
201501,38.78
201502,38.39
201503,38.14
201504,36.86
201505,38.88
201506,35.6
201507,37.8
201508,37.16
201509,36.99
201510,35.58
201511,38.9
201512,42.51
201601,42.58
201602,42.35
201603,44.07
201604,43.89
201605,43.19
201606,40.51
201607,40.93
201608,41.79
201609,43.73
201610,43.98
201611,41.29
