#  Minnesota Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
197501,1.06
197502,1.01
197503,1.43
197504,2.24
197505,1.3
197506,2.17
197507,-0.61
197508,-0.68
197509,-0.86
197510,-1.31
197511,0.5
197512,0.23
197601,0.37
197602,0.42
197603,1.11
197604,-0.93
197605,-2.14
197606,-2.15
197607,-2.94
197608,-4.24
197609,-5.08
197610,-5.45
197611,-6.37
197612,-6.83
197701,-7.32
197702,-7.45
197703,-7.19
197704,-7.34
197705,-6.87
197706,-6.52
197707,-5.98
197708,0.67
197709,1.72
197710,2.26
197711,3.58
197712,3.86
197801,3.44
197802,3.01
197803,2.32
197804,2.3
197805,1.94
197806,1.57
197807,2.64
197808,2.92
197809,2.9
197810,2.02
197811,1.88
197812,1.83
197901,2.08
197902,2.57
197903,3.48
197904,3.35
197905,3.46
197906,3.45
197907,3.3
197908,3.54
197909,2.5
197910,3.21
197911,3.16
197912,2.7
198001,2.9
198002,2.77
198003,-0.15
198004,-1.4
198005,-2.46
198006,-2.8
198007,-3.59
198008,-2.22
198009,-1.56
198010,-1.47
198011,-1.82
198012,-2.05
198101,-2.43
198102,-1.92
198103,-2
198104,-1.7
198105,-2.14
198106,0.92
198107,1.16
198108,1.65
198109,1.3
198110,2.29
198111,2.03
198112,2.14
198201,2.68
198202,2.31
198203,2.39
198204,2.03
198205,2.35
198206,1.61
198207,2
198208,1.56
198209,1.76
198210,2.96
198211,3.61
198212,3.9
198301,3.78
198302,3.42
198303,3.72
198304,3.09
198305,2.72
198306,2.99
198307,2.66
198308,2.34
198309,2.39
198310,2.55
198311,3.51
198312,3.49
198401,3.22
198402,3.29
198403,2.81
198404,2.62
198405,1.98
198406,3.12
198407,2.32
198408,1.27
198409,0.92
198410,2.47
198411,2.15
198412,2.64
198501,2.36
198502,2.09
198503,2.5
198504,2.34
198505,2.64
198506,2.7
198507,2.45
198508,3.17
198509,4.02
198510,4.07
198511,4.46
198512,4.28
198601,4.02
198602,3.83
198603,3.34
198604,4.39
198605,3.66
198606,3.5
198607,4.12
198608,4.11
198609,5.47
198610,4.83
198611,4.88
198612,-0.14
198701,-0.08
198702,-0.11
198703,-0.09
198704,-1.69
198705,-1.56
198706,-2.99
198707,-1.93
