#  Minnesota 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
197501,25.48
197502,25.3
197503,26.18
197504,26.63
197505,24.9
197506,27.73
197507,27.42
197508,26.14
197509,27.29
197510,27.1
197511,28.08
197512,27.98
197601,26.54
197602,26.6
197603,26.89
197604,25.11
197605,23.76
197606,22.17
197607,21.99
197608,20.11
197609,19.04
197610,18.21
197611,15.93
197612,15.87
197701,15.54
197702,15.98
197703,16.68
197704,17.55
197705,20.63
197706,20.02
197707,21.51
197708,24.41
197709,28.19
197710,30.42
197711,33.13
197712,33.93
197801,33.71
197802,33.03
197803,30.84
197804,31.17
197805,30.45
197806,30.28
197807,31.98
197808,31.81
197809,30.27
197810,28.02
197811,26.39
197812,25.93
197901,26.52
197902,27.47
197903,29.54
197904,29.13
197905,29.18
197906,29.99
197907,28.12
197908,28
197909,26.11
197910,29.02
197911,28.94
197912,28.39
198001,28.43
198002,27.78
198003,26.01
198004,24.57
198005,22.94
198006,21.97
198007,20.73
198008,22.35
198009,24.53
198010,22.53
198011,21.93
198012,22.07
198101,21.22
198102,21.83
198103,21.94
198104,24.06
198105,24.4
198106,26.64
198107,28.15
198108,26.81
198109,25.31
198110,27.41
198111,27.61
198112,28.05
198201,29.27
198202,28.34
198203,28.86
198204,27.83
198205,30.21
198206,26.89
198207,27.52
198208,26.06
198209,27.35
198210,28.15
198211,29.38
198212,29.82
198301,29.2
198302,29.36
198303,29.8
198304,29.64
198305,27.84
198306,30.4
198307,29.48
198308,30.5
198309,30.53
198310,28.71
198311,29.53
198312,29.13
198401,28.88
198402,29.33
198403,28.27
198404,29.37
198405,29.01
198406,30.72
198407,29.51
198408,28.06
198409,26.88
198410,29.72
198411,27.53
198412,28.01
198501,27.88
198502,27.36
198503,28.39
198504,28.65
198505,30.97
198506,28.37
198507,29.21
198508,31.38
198509,33.52
198510,30.1
198511,31.25
198512,30.69
198601,30.94
198602,31.24
198603,30.27
198604,32.21
198605,30.52
198606,31.02
198607,32.96
198608,31.91
198609,33.16
198610,32.3
198611,31.98
198612,31.43
198701,31.26
198702,30.94
198703,31.15
198704,26.81
198705,27.73
198706,24.93
198707,25.74
198708,25.18
198709,21.96
198710,21.74
198711,21.5
198712,22.09
198801,22.57
198802,22.36
198803,22.67
198804,23.22
198805,21.59
198806,21.63
198807,18.03
198808,20.31
198809,21.61
198810,21.5
198811,22.41
198812,22.41
198901,22.52
198902,22.76
198903,22.82
198904,23.64
198905,24.36
198906,26.04
198907,26.13
198908,24.89
198909,23.92
198910,24.17
198911,23.01
198912,22.47
199001,21.78
199002,21.91
199003,22.72
199004,23.63
199005,23.33
199006,25.85
199007,27.01
199008,25.81
199009,24.89
199010,26.36
199011,25.83
199012,26.36
199101,26.44
199102,26.67
199103,25.93
199104,26.83
199105,28.76
199106,27.54
199107,28.51
199108,28.12
199109,31.15
199110,30.12
199111,32.37
199112,32.2
199201,32.38
199202,32.25
199203,31.96
199204,30.31
199205,27.89
199206,26.95
199207,26.5
199208,28.26
199209,26.31
199210,26.05
199211,25.08
199212,25.47
199301,25.78
199302,25.43
199303,25.1
199304,25.62
199305,27.96
199306,29.99
199307,32.19
199308,32.86
199309,32.09
199310,31.78
199311,31.75
199312,31.44
199401,31.44
199402,31.71
199403,31.38
199404,32.24
199405,29.81
199406,28.86
199407,26.91
199408,25.59
199409,26.82
199410,28.8
199411,28.6
199412,28.23
199501,27.92
199502,27.86
199503,29.35
199504,28.06
199505,29.05
199506,26.37
199507,27.68
199508,28.72
199509,28.38
199510,29.29
199511,28.9
199512,29.51
199601,30.51
199602,30.72
199603,29.54
199604,28.59
199605,28.67
199606,30.12
199607,27.91
199608,25.94
199609,25.73
199610,25.38
199611,27.46
199612,27.77
199701,27.71
199702,27.29
199703,27.67
199704,28.08
199705,27.23
199706,27.7
199707,29.36
199708,29.67
199709,29.34
199710,28.39
199711,26.23
199712,25.2
199801,24.53
199802,25.31
199803,25.63
199804,25.72
199805,27.34
199806,28.52
199807,26.6
199808,26.73
199809,25.95
199810,27.83
199811,28.5
199812,28.83
199901,29.06
199902,28.42
199903,28
199904,29.25
199905,30.41
199906,29.35
199907,31.8
199908,32.8
199909,34.5
199910,31.28
199911,29.94
199912,29.67
200001,29.1
200002,29.69
200003,29.68
200004,28.31
200005,27.02
200006,27.71
200007,25.88
200008,25.26
200009,23.41
200010,24.31
200011,27.38
200012,27.98
200101,28.23
200102,28.5
200103,27.84
200104,31.7
200105,32.11
200106,31.01
200107,30.59
200108,30.13
200109,30.9
200110,30.97
200111,29.65
200112,29.28
200201,28.68
200202,27.96
200203,28.65
200204,25.59
200205,23.81
200206,26.06
200207,27.63
200208,29.9
200209,29.95
200210,30.54
200211,28.73
200212,28.59
200301,28.59
200302,28.45
200303,28.1
200304,27.91
200305,29.2
200306,27.79
200307,26.04
200308,22.17
200309,22.72
200310,21.23
200311,21.93
200312,22.2
200401,22.73
200402,23.11
200403,23.77
200404,23.09
200405,25.15
200406,23.18
200407,24.18
200408,25.65
200409,28.27
200410,30.01
200411,29.68
200412,29.87
200501,30.5
200502,30.43
200503,29.66
200504,30.2
200505,28.63
200506,31.48
200507,29.88
200508,30.42
200509,29.36
200510,29.44
200511,31.38
200512,31.6
200601,30.71
200602,30.5
200603,31.41
200604,32.14
200605,30.72
200606,27.76
200607,27.17
200608,27.37
200609,26.07
200610,24.3
200611,22.59
200612,22.78
200701,22.72
200702,23.26
200703,23.74
200704,23.49
200705,23.89
200706,24.82
200707,24.99
200708,25.47
200709,26.36
200710,29.85
200711,29.27
200712,29.21
200801,28.98
200802,28.3
200803,26.9
200804,27.81
200805,27.59
200806,28.89
200807,29.71
200808,27.73
200809,27.04
200810,25.82
200811,27.09
200812,27.34
200901,27.73
200902,28.37
200903,30.2
200904,28.5
200905,27.42
200906,25.89
200907,25.66
200908,27.42
200909,25.44
200910,27.04
200911,26.24
200912,26.38
201001,26.67
201002,26.21
201003,24.56
201004,24.31
201005,25.72
201006,27.58
201007,29.77
201008,30.44
201009,35.47
201010,32.66
201011,33.29
201012,33.44
201101,33.6
201102,33.7
201103,33.94
201104,35.29
201105,36.28
201106,35.25
201107,34.98
201108,33.16
201109,27.96
201110,26.69
201111,25.65
201112,24.35
201201,23.86
201202,24.36
201203,24.8
201204,24.86
201205,26.68
201206,26.86
201207,25.46
201208,24.77
201209,24.17
201210,25.07
201211,25.6
201212,26.17
201301,26.62
201302,26.6
201303,26.67
201304,26.96
201305,25.39
201306,26.25
201307,25.83
201308,25.63
201309,27.47
201310,28.93
201311,28.68
201312,29.01
201401,28.8
201402,28.5
201403,27.67
201404,28.32
201405,27.44
201406,30.29
201407,29.93
201408,31.81
201409,31.72
201410,29.57
201411,29.76
201412,29.12
201501,28.81
201502,28.42
201503,28.15
201504,25.84
201505,27.63
201506,23.36
201507,24.93
201508,25.1
201509,25.45
201510,26.41
201511,28.28
201512,29.46
201601,29.51
201602,29.78
201603,31.14
201604,31.9
201605,29.13
201606,29.48
201607,31.48
201608,32.9
201609,34.81
201610,34.83
201611,33.87
201612,33.54
201701,33.98
201702,34.21
201703,33.06
201704,33.41
201705,34.09
201706,33.7
201707,30.27
201708,30.19
201709,29.29
201710,30.38
201711,29.17
201712,28.3
201801,27.89
201802,27.94
201803,28.3
201804,26.93
201805,26.51
201806,28.47
201807,30.13
201808,28.01
201809,28.61
201810,28.92
201811,29.46
201812,30.08
201901,30.16
201902,30.86
201903,31.35
201904,32.93
201905,34.24
201906,32.07
201907,32.39
201908,32.59
201909,34.39
201910,35.04
201911,35.16
201912,35.65
202001,35.88
202002,34.5
202003,34.02
202004,32.58
202005,30.56
202006,31.06
202007,31.32
202008,32.59
202009,27.93
202010,25.57
202011,25.53
202012,24.39
202101,24.07
202102,24.04
202103,24.3
202104,25.52
202105,25.2
202106,22.96
202107,19.88
202108,19.38
202109,20.83
202110,22.23
202111,22.31
202112,23.57
202201,23.6
202202,24.08
202203,23.8
202204,25.03
202205,28.3
202206,29.28
202207,30.56
202208,30.23
202209,28.85
202210,26.27
202211,26.87
