#  Soybean Belt (Area Weighted) Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
197501,1.63
197502,1.95
197503,2.49
197504,2.89
197505,2.36
197506,2.68
197507,1.85
197508,2.32
197509,0.02
197510,-0.55
197511,-0.43
197512,-0.47
197601,-0.46
197602,0.08
197603,0.62
197604,-0.53
197605,-0.69
197606,-0.9
197607,-1.28
197608,-2.26
197609,-2.71
197610,-2.45
197611,-3.27
197612,-4.14
197701,-4.78
197702,-5.26
197703,-4.42
197704,-4.57
197705,-5.02
197706,-5
197707,-4.79
197708,1.3
197709,2.06
197710,2.65
197711,3.32
197712,3.39
197801,3.28
197802,2.44
197803,1.91
197804,2
197805,2.11
197806,1.67
197807,2.05
197808,2.04
197809,1.67
197810,1.05
197811,1.01
197812,1.21
197901,1.92
197902,1.88
197903,2.36
197904,3.01
197905,2.66
197906,2.24
197907,2.72
197908,3.34
197909,2.49
197910,2.6
197911,2.97
197912,2.79
198001,2.5
198002,1.91
198003,2.25
198004,-0.56
198005,-1.12
198006,-1.05
198007,-1.61
198008,-0.8
198009,-0.74
198010,-0.63
198011,-1.35
198012,-1.92
198101,-2.82
198102,-2.83
198103,-3.33
198104,-3.33
198105,0.55
198106,1.04
198107,1.89
198108,2.55
198109,2.28
198110,2.66
198111,2.61
198112,2.53
198201,3.15
198202,2.66
198203,2.48
198204,2.22
198205,2.39
198206,2.25
198207,2.61
198208,2.83
198209,2.56
198210,2.86
198211,3.66
198212,5.22
198301,4.42
198302,3.91
198303,3.82
198304,4.31
198305,4.76
198306,4.51
198307,3.34
198308,1.84
198309,1.26
198310,1.36
198311,2.08
198312,2.54
198401,1.96
198402,1.97
198403,2.25
198404,2.97
198405,3.21
198406,3.11
198407,2.7
198408,1.58
198409,1.44
198410,2.74
198411,3.11
198412,3.45
198501,3.09
198502,3.23
198503,3.06
198504,2.04
198505,1.43
198506,1.14
198507,0.88
198508,1.69
198509,1.85
198510,2.41
198511,3.85
198512,3.66
198601,2.75
198602,2.64
198603,1.68
198604,1.61
198605,1.65
198606,1.51
198607,1.94
198608,1.96
198609,3.18
198610,3.83
198611,4.31
198612,4.03
198701,-0.1
198702,-0.23
198703,-0.22
198704,-1.22
198705,-1.75
198706,-2.42
198707,-2.05
198708,-1.22
198709,-1.57
198710,-1.9
198711,-1.74
198712,-1.04
198801,-0.89
198802,-0.87
198803,-1.11
198804,-1.64
198805,-2.74
198806,-4.44
198807,-5.05
198808,-5.24
198809,-4.79
198810,-4.64
198811,-4.13
198812,-4.13
198901,-3.78
198902,0.32
198903,0.32
198904,-0.4
198905,0.02
198906,0.13
198907,0.37
198908,0.57
198909,1.09
198910,-0.34
198911,-0.67
198912,-1.18
199001,0.06
199002,0.91
199003,1.16
199004,0.77
199005,1.9
199006,2.37
199007,2.66
199008,2.7
199009,1.72
199010,2.13
199011,2.01
199012,2.94
199101,2.76
199102,2.34
199103,2.28
199104,2.96
199105,2.92
199106,-0.66
199107,-0.99
199108,-1.37
199109,-1.4
199110,0.52
199111,1.02
199112,1.28
199201,0
199202,-0.09
199203,-0.14
199204,-0.26
199205,-1.21
199206,-1.35
199207,1.83
199208,2.06
199209,2.63
199210,2.4
199211,3.86
199212,3.89
199301,4.1
199302,3.59
199303,3.31
199304,3.67
199305,3.5
199306,4.59
199307,6.11
199308,6.47
199309,7.2
199310,6.89
199311,7.32
199312,6.7
199401,6.43
199402,5.79
199403,4.4
199404,4.41
199405,3.13
199406,2.94
199407,3.1
199408,3.01
199409,2.49
199410,2.26
199411,2.32
199412,2.14
199501,2.36
199502,1.75
199503,1.54
199504,2.16
199505,3.28
199506,-0.4
199507,-0.17
199508,-0.27
199509,-0.66
199510,-0.37
199511,-0.38
199512,-0.67
199601,-0.27
199602,-0.74
199603,-0.87
199604,0.18
199605,1.37
199606,1.32
199607,1.61
199608,1.18
199609,1.62
199610,1.82
199611,2.63
199612,2.69
199701,2.79
199702,3.36
199703,2.97
199704,2.83
199705,2.92
199706,2.61
199707,2.26
199708,2.16
199709,1.7
199710,1.62
199711,1.28
199712,0.94
199801,1.41
199802,1.59
199803,2.1
199804,2.19
199805,1.49
199806,2.5
199807,2.42
199808,2.43
199809,1.35
199810,2.03
199811,1.85
199812,1.66
199901,2.61
199902,2.16
199903,1.45
199904,2.09
199905,1.9
199906,2.09
199907,-0.1
199908,-0.48
199909,-0.61
199910,-1.09
199911,-2.34
199912,-2.87
200001,-3.41
200002,-3.43
200003,-3.85
200004,-3.72
200005,0.07
200006,1.03
200007,1.24
200008,0.89
200009,0.64
200010,0.17
200011,0.65
200012,0.69
200101,0.75
200102,1.48
200103,0.91
200104,0.74
200105,1.06
200106,1.06
200107,1.02
200108,0.75
200109,0.94
200110,1.77
200111,1.89
200112,2.16
200201,2.07
200202,1.74
200203,1.88
200204,1.77
200205,2.38
200206,-0.53
200207,-0.81
200208,-0.32
200209,-0.86
200210,-0.1
200211,-0.56
200212,-0.61
200301,-1.03
200302,-0.59
200303,-1.15
200304,-1.2
200305,0.75
200306,1.05
200307,1.34
200308,0.58
200309,1.07
200310,0.65
200311,0.95
200312,1.01
200401,1.08
200402,-0.03
200403,0.1
200404,-0.77
200405,1.52
200406,1.52
200407,1.97
200408,2.65
200409,2.05
200410,2.42
200411,3.12
200412,2.98
200501,3.69
200502,3.48
200503,-0.66
200504,-0.96
200505,-1.23
200506,-1.32
200507,-1.36
200508,-1.21
200509,-1.04
200510,-1.56
200511,-1.71
200512,-2.08
200601,-1.93
200602,-1.98
200603,-1.56
200604,-1.62
200605,-1.85
200606,-2.26
200607,-2.5
200608,0.36
200609,0.93
200610,1.45
200611,1.43
200612,2.02
200701,2.38
200702,2.27
200703,-0.35
200704,0.37
200705,-0.4
200706,-0.79
200707,-1.1
200708,0.91
200709,0.39
200710,1
200711,0.38
200712,0.81
200801,0.82
200802,1.59
200803,1.74
200804,2.26
200805,2.62
200806,3.23
200807,3.6
200808,3.01
200809,3.95
200810,4.28
200811,4.32
200812,4.91
200901,4.22
200902,3.86
200903,3.89
200904,3.97
200905,3.8
200906,3.63
200907,3.92
200908,4.45
200909,3.8
200910,6.39
200911,5.8
200912,6.27
201001,5.73
201002,5.1
201003,4.09
201004,3.06
201005,3.09
201006,4.08
201007,4.71
201008,4.25
201009,4.71
201010,3.82
201011,3.69
201012,3.3
201101,2.94
201102,3.15
201103,2.75
201104,3.64
201105,4.01
201106,3.84
201107,-0.03
201108,-0.36
201109,-0.48
201110,-1.01
201111,-0.77
201112,-0.36
201201,-0.28
201202,-0.01
201203,-1.03
201204,-1.26
201205,-1.8
201206,-2.75
201207,-4.04
201208,-4.2
201209,-4.12
201210,-3.56
201211,-4.37
201212,-4.46
201301,0.2
201302,0.62
201303,0.45
201304,1.95
201305,2.84
201306,3.16
201307,-0.22
