#  Soybean Belt (Area Weighted) 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
197501,34.93
197502,35.6
197503,36.68
197504,37.07
197505,35.39
197506,36.32
197507,36.65
197508,36.8
197509,37.2
197510,36.75
197511,37.34
197512,37.18
197601,35.89
197602,35.44
197603,35.71
197604,34.5
197605,33.79
197606,32.31
197607,32.63
197608,29.67
197609,29.04
197610,29.75
197611,27.49
197612,26.51
197701,26.34
197702,25.65
197703,26.38
197704,26.59
197705,26.64
197706,26.44
197707,27.34
197708,31.23
197709,33.93
197710,35.05
197711,37.32
197712,38.53
197801,39.17
197802,38.84
197803,36.27
197804,37.17
197805,38.43
197806,38.72
197807,39.5
197808,37.53
197809,35.98
197810,34.03
197811,33.82
197812,34.32
197901,35.36
197902,36.34
197903,38.04
197904,38.71
197905,37.81
197906,37.86
197907,38.01
197908,38.93
197909,37.75
197910,39.22
197911,39.4
197912,38.36
198001,36.91
198002,36.18
198003,35.78
198004,33.64
198005,33.07
198006,33.36
198007,31.56
198008,32.06
198009,33.38
198010,32.83
198011,31.09
198012,30.89
198101,29.88
198102,30.6
198103,29.02
198104,30.04
198105,31.62
198106,32.73
198107,35.01
198108,34.24
198109,33.5
198110,34.05
198111,34.69
198112,35
198201,37.53
198202,37.05
198203,38.16
198204,37.65
198205,38.19
198206,36.75
198207,36.17
198208,35.73
198209,35.96
198210,36.3
198211,38.05
198212,41.42
198301,39.46
198302,39.62
198303,40.12
198304,41.53
198305,41.48
198306,42.21
198307,40.23
198308,38.74
198309,38.72
198310,38.81
198311,39.83
198312,37.64
198401,37.53
198402,38.03
198403,37.86
198404,38.39
198405,37.85
198406,38.11
198407,38.71
198408,38.51
198409,38.7
198410,40.85
198411,39.05
198412,38.77
198501,39.32
198502,39.59
198503,39.84
198504,37.68
198505,36.74
198506,35.53
198507,35.66
198508,38.17
198509,38.71
198510,36.9
198511,38.58
198512,37.71
198601,36.79
198602,36.38
198603,34.96
198604,36.13
198605,37.02
198606,37.86
198607,39.27
198608,37.88
198609,40.01
198610,39.96
198611,37.81
198612,37.72
198701,38.47
198702,38.11
198703,39.17
198704,37.25
198705,36.37
198706,35.11
198707,34.95
198708,36.34
198709,33.05
198710,30.67
198711,31.59
198712,33.3
198801,33.56
198802,33.55
198803,32.85
198804,33.15
198805,31.68
198806,29.91
198807,28.41
198808,27.17
198809,28.26
198810,28.94
198811,29.41
198812,27.91
198901,28.29
198902,28.87
198903,29.21
198904,29.59
198905,31.24
198906,34.05
198907,35.02
198908,35.27
198909,35.63
198910,35.29
198911,33.02
198912,32.25
199001,32.37
199002,33.18
199003,34.13
199004,34.35
199005,36.29
199006,37.55
199007,37.78
199008,37.66
199009,35.77
199010,37.52
199011,38.44
199012,41.1
199101,40.73
199102,39.27
199103,38.96
199104,41.5
199105,40.87
199106,38.86
199107,37.75
199108,37.15
199109,38.16
199110,38.48
199111,39.28
199112,37.81
199201,37.6
199202,37.75
199203,37.33
199204,34.87
199205,31.88
199206,31.88
199207,35.37
199208,35.72
199209,36.78
199210,34.9
199211,36.17
199212,36.04
199301,37.1
199302,36.99
199303,36.75
199304,38.09
199305,40.24
199306,43.27
199307,43.53
199308,44.87
199309,45.51
199310,45.87
199311,44.3
199312,43.75
199401,43.41
199402,43.58
199403,42.58
199404,42.59
199405,40.72
