#  Soybean Belt (Productivity Weighted) Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
197501,2
197502,2.3
197503,2.81
197504,3.06
197505,2.46
197506,2.66
197507,1.88
197508,2.31
197509,2.18
197510,-0.53
197511,-0.4
197512,-0.41
197601,-0.42
197602,0.03
197603,0.45
197604,-0.52
197605,-0.61
197606,-0.83
197607,-1.15
197608,-2.05
197609,-2.41
197610,-2.05
197611,-2.83
197612,-3.7
197701,-4.3
197702,-4.77
197703,-3.91
197704,-4.11
197705,-4.57
197706,-4.51
197707,-4.35
197708,1.39
197709,2.09
197710,2.75
197711,3.33
197712,3.41
197801,3.33
197802,2.47
197803,2.01
197804,2.05
197805,2.17
197806,1.62
197807,1.98
197808,2
197809,1.51
197810,0.94
197811,0.85
197812,1.06
197901,1.74
197902,1.69
197903,2.15
197904,2.72
197905,2.41
197906,2.02
197907,2.7
197908,3.54
197909,2.79
197910,2.94
197911,3.44
197912,3.17
198001,2.79
198002,2.16
198003,2.51
198004,-0.52
198005,-1.02
198006,-0.96
198007,-1.55
198008,-0.76
198009,-0.8
198010,-0.72
198011,-1.46
198012,-2.08
198101,-3
198102,-2.98
198103,-3.51
198104,-3.4
198105,0.62
198106,1.06
198107,1.84
198108,2.56
198109,2.22
198110,2.58
198111,2.51
198112,2.45
198201,3.11
198202,2.63
198203,2.45
198204,2.22
198205,2.44
198206,2.34
198207,2.61
198208,2.83
198209,2.5
198210,2.58
198211,3.29
198212,4.76
198301,3.98
198302,3.45
198303,3.35
198304,4.01
198305,4.56
198306,4.33
198307,3.08
198308,1.54
198309,0.92
198310,1.22
198311,1.98
198312,2.51
198401,1.89
198402,1.83
198403,2.21
198404,3.05
198405,3.36
198406,3.04
198407,2.72
198408,1.53
198409,1.28
198410,2.34
198411,2.67
198412,3.08
198501,2.72
198502,2.87
198503,2.77
198504,1.81
198505,1.21
198506,0.97
198507,0.68
198508,1.52
198509,1.63
198510,2.07
198511,3.59
198512,3.39
198601,2.48
198602,2.45
198603,1.51
198604,1.27
198605,1.3
198606,1.18
198607,1.6
198608,1.66
198609,2.8
198610,3.58
198611,4.05
198612,3.8
198701,-0.12
198702,-0.35
198703,-0.39
198704,-1.25
198705,-1.77
198706,-2.28
198707,-1.9
198708,-1.13
198709,-1.47
198710,-1.77
198711,-1.68
198712,-0.97
198801,-0.85
198802,-0.78
198803,-1.11
198804,-1.51
198805,-2.61
198806,-4.26
198807,-4.77
198808,-5.06
198809,-4.7
198810,-4.59
198811,-4.04
198812,-4.07
198901,-3.77
198902,0.34
198903,0.32
198904,-0.34
198905,0.04
198906,0.16
198907,0.46
198908,0.63
198909,1.3
198910,-0.22
198911,-0.46
198912,-0.91
199001,0.08
199002,0.97
199003,1.18
199004,0.78
199005,2.07
199006,2.51
199007,2.9
199008,3.02
199009,2.04
199010,2.49
199011,2.4
199012,3.49
199101,3.22
199102,2.67
199103,2.65
199104,3.12
199105,2.98
199106,-0.77
199107,-1.25
199108,-1.61
199109,-1.73
199110,0.42
199111,0.83
199112,1.06
199201,-0.04
199202,-0.21
199203,-0.23
199204,-0.34
199205,-1.23
199206,-1.4
199207,2.01
199208,2.18
199209,2.74
199210,2.57
199211,4.13
199212,4.11
199301,4.3
199302,3.84
199303,3.59
199304,3.92
199305,3.75
199306,4.69
199307,6.01
199308,6.43
199309,7.23
199310,6.96
199311,7.39
199312,6.78
199401,6.43
199402,5.78
199403,4.44
199404,4.54
199405,3.26
199406,3.04
199407,3.06
199408,2.96
199409,2.42
199410,2.03
199411,2.06
199412,1.81
199501,2.03
199502,1.42
199503,1.11
199504,1.7
199505,2.98
199506,-0.28
199507,-0.27
199508,-0.35
199509,-0.78
199510,-0.54
199511,-0.59
199512,-0.93
199601,-0.51
199602,-0.95
199603,-1
199604,0.22
199605,1.42
199606,1.45
199607,1.8
199608,1.48
199609,1.89
199610,2
199611,2.85
199612,2.92
199701,2.91
199702,3.38
199703,3.01
199704,2.76
199705,2.91
199706,2.7
199707,2.26
199708,2.26
199709,1.78
199710,1.64
199711,1.3
199712,0.97
199801,1.41
199802,1.49
199803,2.05
199804,2.27
199805,1.58
199806,2.66
199807,2.64
199808,2.56
199809,1.43
199810,1.99
199811,1.7
199812,1.39
199901,2.28
199902,1.91
199903,1.2
199904,1.94
199905,1.66
199906,1.87
199907,-0.15
199908,-0.57
199909,-0.88
199910,-1.36
199911,-2.59
199912,-3.09
200001,-3.53
200002,-3.48
200003,-3.89
200004,-3.79
200005,-0.01
200006,0.92
200007,1.11
200008,0.74
200009,0.48
200010,0.02
200011,0.33
200012,0.33
200101,0.37
200102,1.1
200103,-0.51
200104,-0.63
200105,0.41
200106,0.43
200107,0.47
200108,0.26
200109,0.45
200110,1.31
200111,1.39
200112,1.64
200201,1.6
200202,1.28
200203,1.47
200204,1.45
200205,2.15
200206,-0.6
200207,-0.99
200208,-0.58
200209,-1.03
200210,0.66
200211,-0.48
200212,-0.55
200301,-0.97
200302,-0.5
200303,-1.04
200304,-1.1
200305,0.79
200306,1.03
200307,1.48
200308,0.88
200309,1.45
200310,1.06
200311,1.4
200312,1.53
200401,1.55
200402,-0.1
200403,0.11
200404,-0.68
200405,1.21
200406,1.23
200407,1.78
200408,2.46
200409,1.85
200410,2.19
200411,2.94
200412,2.8
200501,3.62
200502,3.37
