#  Soybean Belt (Productivity Weighted) Precipitation
# Units: Inches
# Missing: -99
Date,Value
197501,2.83
197502,2.45
197503,3.59
197504,3.77
197505,3.79
197506,4.96
197507,2.58
197508,4.73
197509,2.92
197510,1.58
197511,3.09
197512,1.99
197601,1.45
197602,1.93
197603,3.74
197604,2.69
197605,3.25
197606,3.6
197607,2.92
197608,1.83
197609,2.27
197610,2.5
197611,0.67
197612,0.82
197701,1.19
197702,1.2
197703,4.47
197704,2.89
197705,3.19
197706,3.54
197707,3.68
197708,5.88
197709,4.76
197710,3.48
197711,2.87
197712,2.22
197801,2.04
197802,0.85
197803,2.1
197804,3.76
197805,4.47
197806,3.56
197807,4.57
197808,3.74
197809,3.08
197810,1.52
197811,2.82
197812,2.73
197901,2.96
197902,1.85
197903,3.71
197904,4.38
197905,3.64
197906,3.77
197907,5.03
197908,4.95
197909,2.23
197910,2.92
197911,3.15
197912,1.57
198001,1.46
198002,1.13
198003,3.39
198004,2.34
198005,3.05
198006,4.06
198007,2.79
198008,5.16
198009,3.31
198010,2.31
198011,1.24
198012,1.32
198101,0.42
198102,1.97
198103,1.59
198104,3.51
198105,4.73
198106,5.16
198107,5.1
198108,4.44
198109,2.58
198110,2.86
198111,1.87
198112,1.77
198201,3.19
198202,1.4
198203,2.87
198204,2.87
198205,5.27
198206,3.82
198207,4.46
198208,3.91
198209,2.82
198210,2.87
198211,3.71
198212,5.01
198301,1.04
198302,1.48
198303,3.25
198304,4.49
198305,5.26
198306,4.47
198307,2.4
198308,2.32
198309,2.8
198310,3.7
198311,4.76
198312,2.95
198401,0.92
198402,1.99
198403,3.28
198404,4.98
198405,4.74
198406,4.4
198407,3.32
198408,2.12
198409,2.92
198410,5.13
198411,3
198412,2.75
198501,1.47
198502,2.33
198503,3.49
198504,2.65
198505,3.54
198506,3.59
198507,3.21
198508,4.79
198509,3.54
198510,3.49
198511,4.92
198512,1.73
198601,0.55
198602,2.01
198603,1.98
198604,3.5
198605,4.41
198606,4.36
198607,4.71
198608,3.35
198609,5.63
198610,3.87
198611,2.36
198612,1.72
198701,1.35
198702,1.41
198703,2.99
198704,1.97
198705,3.52
198706,3.3
198707,4.52
198708,4.63
198709,2.48
198710,1.26
198711,3.19
198712,3.45
198801,1.59
198802,1.63
198803,2.22
198804,2.35
198805,2.03
198806,1.3
198807,3.18
198808,3.32
198809,3.45
198810,1.88
198811,3.96
198812,1.79
198901,1.89
198902,2.18
198903,2.73
198904,2.67
198905,3.78
198906,4.18
198907,4.14
198908,3.65
198909,4.19
198910,1.72
198911,1.49
198912,1.03
199001,1.98
199002,3.11
199003,3.63
199004,2.74
199005,6.1
199006,5.4
199007,4.51
199008,3.77
199009,2.01
199010,3.46
199011,2.45
199012,4.06
199101,1.71
199102,1.4
199103,3.49
199104,5.02
