#  Contiguous U.S. Palmer Modified Drought Index (PMDI)
# Missing: -99
Date,Value
197501,2.2
197502,2.69
197503,3.55
197504,3.86
197505,3.82
197506,3.99
197507,4.21
197508,4.37
197509,4.38
197510,4.11
197511,3.86
197512,3.55
197601,2.89
197602,1.75
197603,1.38
197604,0.58
197605,0.82
197606,0.64
197607,0.88
197608,-0.08
197609,-0.06
197610,0.96
197611,-0.46
197612,-1.42
197701,-2.31
197702,-3.33
197703,-1.99
197704,-2.85
197705,-2.95
197706,-3.21
197707,-3.46
197708,-1.27
197709,0.25
197710,0.51
197711,1.45
197712,1.91
197801,2.94
197802,2.32
197803,1.42
197804,1.2
197805,2.4
197806,1.34
197807,1.25
197808,1.56
197809,1.02
197810,-1.04
197811,-0.37
197812,0.02
197901,1.11
197902,1.68
197903,1.73
197904,2.24
197905,2.48
197906,1.69
197907,2.52
197908,3.04
197909,2.68
197910,2.38
197911,2.51
197912,1.72
198001,2.23
198002,1.98
198003,2.87
198004,2.24
198005,2.35
198006,0.82
198007,-1.48
198008,-1.78
198009,-1.33
198010,-1.41
198011,-2.05
198012,-3.1
198101,-4.77
198102,-5.74
198103,-5.83
198104,-5.98
198105,-3.68
198106,-2.31
198107,-0.65
198108,0.43
198109,-0.12
198110,2.04
198111,1.85
198112,2.25
198201,3.03
198202,3.04
198203,2.51
198204,2.72
198205,2.86
198206,3.26
198207,3.64
198208,3.58
198209,3.34
198210,3.32
198211,3.88
198212,5.16
198301,5.11
198302,5.16
198303,5.75
198304,6.32
198305,6.51
198306,6.1
198307,4.72
198308,2.88
198309,1.75
198310,2.05
198311,4.24
198312,5.3
198401,4.52
198402,3.98
198403,4.11
198404,4.32
198405,4.15
198406,3.8
198407,3.71
198408,2.97
198409,1.77
198410,3.65
198411,4.25
198412,4.81
198501,4.2
198502,4.05
198503,3.06
198504,0.78
198505,-0.7
198506,-1.27
198507,-1.81
198508,-0.84
198509,0.96
198510,1.81
198511,3.21
198512,3.32
198601,2.76
198602,3.37
198603,0.69
198604,-0.43
198605,-0.6
198606,-0.7
198607,-0.72
198608,-0.23
198609,1.76
198610,2.67
198611,3.39
198612,3.62
198701,3.81
198702,3.63
198703,3.29
198704,0.12
198705,-0.44
198706,-1.08
198707,-1.36
198708,-1.19
198709,-1.48
198710,-2.11
198711,-2.03
198712,-1.59
198801,-1.79
198802,-2
198803,-2.38
198804,-2.36
198805,-3
198806,-4.26
198807,-4.78
198808,-4.98
198809,-3.91
198810,-4.46
198811,-3.22
198812,-4
198901,-4.24
198902,-3.76
198903,-2.71
198904,-3.68
198905,-2.65
198906,-0.2
198907,1.09
198908,1.92
198909,2.07
198910,1.4
198911,-0.01
198912,-1.53
199001,-1.69
199002,0.01
199003,-0.19
199004,-0.4
199005,1.25
199006,-0.37
199007,0.09
199008,0.2
199009,-0.79
199010,0.58
199011,-0.39
199012,0.49
199101,0.79
199102,-0.59
199103,0.75
199104,1.36
199105,1.78
199106,1.4
199107,1.43
199108,1.13
199109,1.04
199110,0.67
199111,1.21
199112,1.42
199201,1.45
199202,1.35
199203,0.23
199204,-0.86
199205,-1.45
199206,0.25
199207,1.63
199208,2.38
199209,2.09
199210,0.97
199211,2.52
199212,3.31
199301,4.35
199302,4.17
199303,4.05
199304,4.2
199305,3.65
199306,4.21
199307,4.8
199308,4.98
199309,4.84
199310,4.59
199311,4.45
199312,4.13
199401,4.08
199402,3.91
199403,2.44
199404,2.41
199405,1.04
199406,0.31
199407,0.32
199408,-0.11
199409,-0.99
199410,0.21
199411,1.1
199412,1.21
199501,2.71
199502,1.28
199503,1.7
199504,2.37
199505,3.48
199506,3.59
199507,3.53
199508,3.21
199509,2.3
199510,2.81
199511,2.71
199512,2.57
199601,3.03
199602,2.38
199603,1.86
199604,1.89
199605,2.25
199606,1.67
199607,2.14
199608,2.1
199609,3
199610,3.14
199611,3.9
199612,5.06
199701,5.61
199702,5.36
199703,3.91
199704,4.83
199705,4.3
199706,4.44
199707,4.25
199708,4.09
199709,3.5
199710,3.65
199711,3.5
199712,3.35
199801,4.14
199802,4.8
199803,5.03
199804,4.61
199805,2.93
199806,3.46
199807,2.99
199808,1.65
199809,0.45
199810,1.57
199811,1.64
199812,1.12
199901,2.32
199902,1.32
199903,0.02
199904,0.64
199905,0.58
199906,1.34
199907,1.2
199908,0.16
199909,0.22
199910,-0.78
199911,-2.08
199912,-3.31
200001,-4.31
200002,-5.14
200003,-5.15
200004,-4.94
200005,-5.02
200006,-3.46
200007,-3.93
200008,-4.74
200009,-4.69
200010,-4.19
200011,-2.79
200012,-3.39
200101,-3.65
200102,-2.65
200103,-2.19
200104,-2.98
200105,-3.11
200106,-2.39
200107,-2.43
200108,-2.8
200109,-2.67
200110,-2.5
200111,-2.72
200112,-2.95
200201,-3.31
200202,-3.8
200203,-2.85
200204,-3.34
200205,-3.1
200206,-3.31
200207,-3.54
200208,-3.73
