#  Contiguous U.S. Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
197501,32.34
197502,32.76
197503,38.7
197504,46.83
197505,60.35
197506,67.5
197507,73.53
197508,71.51
197509,62.87
197510,54.63
197511,42.6
197512,34.29
197601,29.93
197602,39.56
197603,42.31
197604,51.84
197605,59.04
197606,67.78
197607,72.88
197608,70.63
197609,64.17
197610,49.98
197611,38.48
197612,30.92
197701,23.09
197702,36.03
197703,43.16
197704,54.07
197705,61.65
197706,70.32
197707,74.41
197708,71.76
197709,65.91
197710,53.98
197711,42.85
197712,33.28
197801,25.86
197802,27.99
197803,41.29
197804,51.58
197805,59.72
197806,68.92
197807,73.78
197808,71.78
197809,65.82
197810,54.39
197811,41.47
197812,29.82
197901,21.92
197902,28.13
197903,42.06
197904,50.14
197905,59.13
197906,67.8
197907,73.11
197908,70.95
197909,66.07
197910,55.26
197911,39.92
197912,36.03
198001,31.12
198002,32.85
198003,39.36
198004,51.42
198005,60.26
198006,68.72
198007,75.72
198008,72.77
198009,66.22
198010,52.59
198011,42.31
198012,35.19
198101,32.41
198102,36.57
198103,42.85
198104,55.11
198105,58.95
198106,69.8
198107,73.92
198108,72.09
198109,64.9
198110,52.3
198111,44.73
198112,33.66
198201,26.22
198202,32.59
198203,42.01
198204,48.61
198205,60.78
198206,66.31
198207,73.18
198208,72.05
198209,64.02
198210,53.24
198211,41.13
198212,35.82
198301,33.12
198302,36.86
198303,42.39
198304,46.99
198305,57.94
198306,67.06
198307,73.96
198308,75.04
198309,65.57
198310,54.99
198311,43.02
198312,25.48
198401,28.83
198402,37.38
198403,40.08
198404,49.59
198405,60.06
198406,68.59
198407,73.15
198408,73.11
198409,63.12
198410,53.6
198411,41.54
198412,34.54
198501,26.31
198502,30.87
198503,43.48
198504,54.34
198505,62.06
198506,68.09
198507,74.03
198508,71.01
198509,62.71
198510,54.28
198511,39.51
198512,28.81
198601,34.68
198602,35.85
198603,46.18
198604,52.86
198605,61.07
198606,70.39
198607,73.49
198608,71.69
198609,63.68
198610,54
198611,41.4
198612,34.43
198701,31.44
198702,37.38
198703,42.55
198704,53.51
198705,62.94
198706,70.23
198707,73.24
198708,71.85
198709,65.23
198710,52.95
198711,43.97
198712,34.54
198801,27.79
198802,33.69
198803,42.4
198804,51.8
198805,61.2
198806,70.84
198807,74.77
198808,73.65
198809,64.58
198810,53.94
198811,43.29
198812,33.46
198901,34.09
198902,29.17
198903,42.67
198904,52.86
198905,60.44
198906,68.11
198907,74.19
198908,71.29
198909,64.06
198910,54.34
198911,42.91
198912,27.73
199001,36.48
199002,36.7
199003,44.74
199004,52.5
199005,58.86
199006,70.21
199007,73.24
199008,72.25
199009,67.33
199010,53.96
199011,44.92
199012,30.83
199101,29.5
199102,39.81
199103,43.32
199104,52.52
199105,61.95
199106,69.04
199107,73.87
199108,72.97
199109,64.89
199110,54.73
199111,39.43
199112,35.73
199201,33.62
199202,39.69
199203,44.69
199204,52.52
199205,61.14
199206,67.41
199207,71.2
199208,69.82
199209,64.65
199210,54.52
199211,40.06
199212,31.75
199301,30.47
199302,31.14
199303,41.79
199304,49.89
199305,60.87
199306,67.19
199307,72.12
199308,71.87
199309,63.28
199310,52.95
199311,39.2
199312,34.2
199401,29.34
199402,31.87
199403,44.51
199404,52.66
199405,60.66
199406,70.93
199407,73.6
199408,72.18
199409,65.53
199410,54.19
199411,42.55
199412,36.23
199501,33.08
199502,37.36
199503,43.34
199504,49.41
199505,58.62
199506,67.53
199507,73.53
199508,74.3
199509,64.67
199510,54.45
199511,42.03
199512,33.42
199601,29.7
199602,35.69
199603,39.02
199604,50.65
199605,60.96
199606,69.84
199607,73.62
199608,72.41
199609,63.45
199610,53.64
199611,39.63
199612,33.91
199701,29.97
199702,36.05
199703,44.65
199704,47.91
199705,59.38
199706,68.29
199707,73.17
199708,71.73
199709,66.4
199710,53.91
199711,40.86
199712,34
199801,34.99
199802,38.71
199803,41.32
199804,51.06
199805,62.46
199806,68.11
199807,75.45
199808,73.99
199809,68.95
199810,55.11
199811,44.89
199812,35.55
199901,33.78
199902,39.49
199903,42.78
199904,51.55
199905,60.04
199906,68.29
199907,74.28
199908,72.88
199909,64.33
199910,54.75
199911,48.11
199912,36.1
200001,33.57
200002,39.78
200003,46.02
200004,52.57
200005,63.12
200006,69.01
200007,73.85
200008,74.01
200009,65.55
200010,55.08
200011,38.01
200012,28.44
200101,31.37
200102,33.96
200103,41.47
200104,53.08
200105,62.8
200106,69.21
200107,74.44
200108,74.28
200109,65.68
200110,54.36
200111,47.39
200112,36.12
200201,34.48
200202,36.39
200203,39.54
200204,53.49
200205,59.27
200206,70.84
200207,75.83
200208,72.82
200209,66.83
200210,51.82
200211,41.95
200212,35.08
200301,32.81
200302,32.79
200303,43.29
200304,51.89
200305,60.96
200306,68.02
200307,75.43
200308,74.62
200309,64.94
200310,56.53
200311,42.35
200312,35.29
200401,30.36
200402,33.57
200403,47.39
200404,52.66
200405,61.9
200406,68.05
200407,72.88
200408,70.14
200409,65.64
200410,55.35
200411,43.99
200412,35.06
200501,33.39
200502,37.94
200503,42.31
